dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr
10038749,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038749,M046183,,Nation River,55.24706,-124.10984,NA,Canada,British Columbia,,M,Gold,,Platinum,Unknown,Placer,Y,Past Producer,,,,STREAM GRAVELS,,,,,,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 81HOLLAND, 1950, PLACER AU IN B. C. : B. C. DEPT. MINES BULL. 28, P. 43",,,,,,,,
10038750,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038750,M046185,,Granite Creek,49.49511,-120.68844,NA,Canada,British Columbia,,M,Gold,,"PGE, Palladium, Osmium, Platinum, Iridium",Unknown,Placer,Y,Past Producer,"Chromite, Magnetite",,,,,,,,,,"Blair, Will N.",,,,,,,"RICE, 1947, GEOL. & MIN. DEPOSITS PRINCETON AREA: CANADA GEOLOGICAL SURVEY MEM. 243, P. 59HOLLAND, 1950, PLACER GOLD IN B. C. : B. C. DEPT. MINES BULL. 28, P. 54 - 55HOLLAND 1950",,,,,,,1876 - 1945,
10038751,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038751,M046186,,Government Creek,53.51651,-122.56807,NA,Canada,British Columbia,,M,Gold,,Platinum,Unknown,Placer,Y,Past Producer,,,,STREAM GRAVELS,,,,,,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. REPT. 13, P. 83HOLLAND, 1950, PLACER GOLD IN B. C. : B. C. DEPT. MINES BULL. 28, P. 21",,,,,,,,
10038752,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038752,M046187,,Chrome Creek,50.84983,-121.36795,NA,Canada,British Columbia,,M,,,"Platinum, Gold",Unknown,Placer,N,Prospect,,,,STREAM GRAVELS,,,,,,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. NO. 13, P. 8",,,,,,,,
10038753,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038753,M046188,,Tranquille River,50.76651,-120.51792,NA,Canada,British Columbia,,M,Gold,,Platinum,Unknown,Placer,Y,Past Producer,,,,STREAM GRAVELS,,,,,,,"Blair, Will N.",,,,,,,"HOLLAND, 1950, PLACER GOLD IN B. C.: B. C. DEPT. MINES BULL. 28, P. 38O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 87",,,,,,,,
10038754,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038754,M046189,,Omenica River,55.7904,-124.70406,NA,Canada,British Columbia,,M,Gold,,Platinum,Unknown,Placer,N,Occurrence,,,,RIVER GRAVELS,,,,,,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 8",,,,,,,,
10038755,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038755,M046191,,Igenika River,56.79984,-126.21832,NA,Canada,British Columbia,,M,Gold,,Platinum,Unknown,Placer,Y,Past Producer,,,,STREAM GRAVELS,,,,,,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 81HOLLAND, 1950, PLACER GOLD IN B. C.: B. C. DEPT. MINES BULL. 28, P. 43",,,,,,,,
10038756,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038756,M046192,,Rainbow Creek,55.14984,-123.96818,NA,Canada,British Columbia,,M,Gold,,"Platinum, Iridium",Unknown,Placer,Y,Past Producer,,,,STREAM GRAVELS,,,,,,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 82HOLLAND, 1950, PLACER GOLD IN B. C.: B. C. DEPT. MINES BULL. 28, P. 43",,,,,,,1874 -,
10038757,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038757,M046194,,Dog Creek,54.6165,-124.31817,NA,Canada,British Columbia,,M,Gold,,Platinum,Unknown,Placer,Y,Past Producer,,,,STREAM GRAVELS,,,,,,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 82HOLLAND, 1950, PLACER GOLD IN B. C.: B. C. DEPT. MINES BULL. 28, P. 43",,,,,,,,
10038758,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038758,M046195,,Mc Connell Creek,56.84984,-126.50167,NA,Canada,British Columbia,,M,Gold,Platinum,,Unknown,Placer,Y,Past Producer,,,,STREAM GRAVELS,,,,,P. Jensen's Lease No. 457,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 83HOLLAND, 1950, PLACER GOLD IN B. C.:B. C. DEPT. MINES BULL. 28, P. 43LAY, 1932, REPT. ON MC CONNELL CREEK, B. C.: B. C. DEPT. MINES BULL. 2, 17 P.HOLLAND 1950",,,,,,,,
10039234,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10039234,M046824,,Tyee Lake Resources,49.6665,-120.6679,NA,Canada,British Columbia,,M,,,Platinum,Unknown,,N,Occurrence,,,,,,,,,,,"Blair, Will N.",,,,,,,"NORTHERN MINER, 1977 , V. 62 , N. 52CANADIAN MINES HANDBOOK, 1976 - 1977 , TYEE LAKE RESOURCES:  N. MINER, P. 320",,,,,,,,
10039323,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10039323,M046958,,Basic,49.01652,-118.03445,NA,Canada,British Columbia,,M,Nickel,,PGE,Unknown,,U,Prospect,,,,,,,,,,,"Saso, Jerri L.",,,,,,,"ANNIS, CRANSTONE, AND VALLEE, 1978 , KNOWN MIN. CA.:  DEPT. ENERGY, MINES RESOURCES CA., BULL. MR 181ANNIS ETAL., 1978 , KNOWN MIN. CA. NOT MINED",,,,,,,,
10039328,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10039328,M046967,,E and L,56.57755,-130.69347,NA,Canada,British Columbia,,M,,,"PGE, Copper, Nickel",Unknown,,N,Occurrence,,,,,,,,,,,"Saso, Jerri L.",,,,,,,"ANNIS, CRANSTONE, AND VALLEE, KNOWN MIN. CA., 1978 :  DEPT. ENERGY, MINES RESOURCES CA., BULL. MR 181ANNIS ETAL., 1978 , KNOWN MIN. CA. NOT MINED",,,,,,,,
10056492,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10056492,TC00513,,Lornex,50.48316,-121.03459,NA,Canada,British Columbia,,M,"Copper, Molybdenum",,"Gold, Silver",Unknown,,Y,Producer,"Bornite, Chalcopyrite, Molybdenite","Anhydrite, Calcite, Chlorite, Epidote, Gypsum, Hematite, Magnetite, Montmorillonite, Pyrite, Quartz, Sericite",,"STRINGS, VEINS, AND FRACTURE FILLING",Surface,79: Porphyry Cu-Mo,"Argillic, Phyllic, Potassic, Silicic, Propylitic; Distinct Propylitic Zone On The E Side Of The Orebody",,,,"Bolm, Karen S.",,Diorite,,Diorite,"Guichon Creek Batholith Iin The Intermontare Belt, Fracture Area At Contact Of Skeena Granodiorite With Bethsaida Quartz Monzonite",,"CORE SHED DISPLAY APPENDIX, 1990, VIII SYMPOSIUM, INTERNATIONAL ASSOCIATION ON THE GENESIS OF ORE  DEPOSITS, OTTAWA, CANADACORE SHED DISPLAY APPENDIX, 1990.",,1972,,,,1964,,Egil Lorentzen
10065853,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10065853,TC41291,,Tulameen,49.49983,-120.75122,NA,Canada,British Columbia,,M,"Gold, Platinum",Osmium,,Unknown,,Y,Past Producer,,,,,,,,,,,"Orris, Greta J. (Bliss, James D.)",,,,,,,"CAMSELL, 1913.ORRIS, G.J. AND BLISS, J.D., 1985, GEOLOGIC AND GRADE VOLUME DATA ON 330 GOLD PLACER DEPOSITS:  U.S. GEOLOGICAL SURVEY OPEN-FILE REPORT 85-213, 172 P.CIMRIORRIS AND BLISS, 1985.",,,,,,,,
